state_id,namemunicipality
1,Aguascalientes
1,Asientos
1,Calvillo 
1,Cosío
1,Jesús María
1,Pabellón De Arteaga
1,Rincón De Romos
1,San José De Gracia
1,Tepezalá
1,El Llano
1,San Francisco De Los Romo
2,Ensenada
2,Mexicali
2,Tecate
2,Tijuana
2,Playas de Rosarito
3,Comondú
3,Mulegé
3,La Paz
3,Los Cabos
3,Loreto
4,Calkiní
4,Campeche
4,Carmen
4,Champotón
4,Hecelchakán
4,Hopelchén
4,Palizada
4,Tenabo
4,Escárcega
4,Calakmul
4,Candelaria
5,Abasolo
5,Acuña
5,Allende
5,Arteaga
5,Candela
5,Castaños
5,Cuatro Ciénegas
5,Escobedo
5,Francisco I. Madero
5,Frontera
5,General Cepeda
5,Guerrero
5,Hidalgo
5,Jiménez
5,Juárez
5,Lamadrid
5,Matamoros
5,Monclova
5,Morelos
5,Múzquiz
5,Nadadores
5,Nava
5,Ocampo
5,Parras
5,Piedras Negras
5,Progreso
5,Ramos Arizpe
5,Sabinas
5,Sacramento
5,Saltillo
5,San Buenaventura
5,San Juan De Sabinas
5,San Pedro
5,Sierra Mojada
5,Torreón
5,Viesca
5,Villa Unión
5,Zaragoza
6,Armería
6,Colima
6,Comala
6,Coquimatlán
6,Cuauhtémoc
6,Ixtlahuacán
6,Manzanillo
6,Minatitlán
6,Tecomán
6,Villa De Álvarez
7,Acacoyagua
7,Acala
7,Acapetahua
7,Altamirano
7,Amatán
7,Amatenango De La Frontera
7,Amatenango Del Valle
7,Angel Albino Corzo
7,Arriaga
7,Bejucal De Ocampo
7,Bella Vista
7,Berriozábal
7,Bochil
7,El Bosque
7,Cacahoatán
7,Catazajá
7,Cintalapa
7,Coapilla
7,Comitán De Domínguez
7,La Concordia
7,Copainalá
7,Chalchihuitán
7,Chamula
7,Chanal
7,Chapultenango
7,Chenalhó
7,Chiapa De Corzo
7,Chiapilla
7,Chicoasén
7,Chicomuselo
7,Chilón
7,Escuintla
7,Francisco León
7,Frontera Comalapa
7,Frontera Hidalgo
7,La Grandeza
7,Huehuetán
7,Huixtán
7,Huitiupán
7,Huixtla
7,La Independencia
7,Ixhuatán
7,Ixtacomitán
7,Ixtapa
7,Ixtapangajoya
7,Jiquipilas
7,Jitotol
7,Juárez
7,Larráinzar
7,La Libertad
7,Mapastepec
7,Las Margaritas
7,Mazapa De Madero
7,Mazatán
7,Metapa
7,Mitontic
7,Motozintla
7,Nicolás Ruíz
7,Ocosingo
7,Ocotepec
7,Ocozocoautla De Espinosa
7,Ostuacán
7,Osumacinta
7,Oxchuc
7,Palenque
7,Pantelhó
7,Pantepec
7,Pichucalco
7,Pijijiapan
7,El Porvenir
7,Villa Comaltitlán
7,Pueblo Nuevo Solistahuacán
7,Rayón
7,Reforma
7,Las Rosas
7,Sabanilla
7,Salto De Agua
7,San Cristóbal De Las Casas
7,San Fernando
7,Siltepec
7,Simojovel
7,Sitalá
7,Socoltenango
7,Solosuchiapa
7,Soyaló
7,Suchiapa
7,Suchiate
7,Sunuapa
7,Tapachula
7,Tapalapa
7,Tapilula
7,Tecpatán
7,Tenejapa
7,Teopisca
7,Tila
7,Tonalá
7,Totolapa
7,La Trinitaria
7,Tumbalá
7,Tuxtla Gutiérrez
7,Tuxtla Chico
7,Tuzantán
7,Tzimol
7,Unión Juárez
7,Venustiano Carranza
7,Villa Corzo
7,Villaflores
7,Yajalón
7,San Lucas
7,Zinacantán
7,San Juan Cancuc
7,Aldama
7,Benemérito De Las Américas
7,Maravilla Tenejapa
7,Marqués De Comillas
7,Montecristo De Guerrero
7,San Andrés Duraznal
7,Santiago El Pinar
8,Ahumada
8,Aldama
8,Allende
8,Aquiles Serdán
8,Ascensión
8,Bachíniva
8,Balleza
8,Batopilas
8,Bocoyna
8,Buenaventura
8,Camargo
8,Carichí
8,Casas Grandes
8,Coronado
8,Coyame Del Sotol
8,La Cruz
8,Cuauhtémoc
8,Cusihuiriachi
8,Chihuahua
8,Chínipas
8,Delicias
8,Dr. Belisario Domínguez
8,Galeana
8,Santa Isabel
8,Gómez Farías
8,Gran Morelos
8,Guachochi
8,Guadalupe
8,Guadalupe Y Calvo
8,Guazapares
8,Guerrero
8,Hidalgo Del Parral
8,Huejotitán
8,Ignacio Zaragoza
8,Janos
8,Jiménez
8,Juárez
8,Julimes
8,López
8,Madera
8,Maguarichi
8,Manuel Benavides
8,Matachí
8,Matamoros
8,Meoqui
8,Morelos
8,Moris
8,Namiquipa
8,Nonoava
8,Nuevo Casas Grandes
8,Ocampo
8,Ojinaga
8,Praxedis G. Guerrero
8,Riva Palacio
8,Rosales
8,Rosario
8,San Francisco De Borja
8,San Francisco De Conchos
8,San Francisco Del Oro
8,Santa Bárbara
8,Satevó
8,Saucillo
8,Temósachi
8,El Tule
8,Urique
8,Uruachi
8,Valle De Zaragoza
9,Azcapotzalco
9,Coyoacán
9,Cuajimalpa De Morelos
9,Gustavo A. Madero
9,Iztacalco
9,Iztapalapa
9,La Magdalena Contreras
9,Milpa Alta
9,Álvaro Obregón
9,Tláhuac
9,Tlalpan
9,Xochimilco
9,Benito Juárez
9,Cuauhtémoc
9,Miguel Hidalgo
9,Venustiano Carranza
10,Canatlán
10,Canelas
10,Coneto De Comonfort
10,Cuencamé
10,Durango
10,General Simón Bolívar
10,Gómez Palacio
10,Guadalupe Victoria
10,Guanaceví
10,Hidalgo
10,Indé
10,Lerdo
10,Mapimí
10,Mezquital
10,Nazas
10,Nombre De Dios
10,Ocampo
10,El Oro
10,Otáez
10,Pánuco De Coronado
10,Peñón Blanco
10,Poanas
10,Pueblo Nuevo
10,Rodeo
10,San Bernardo
10,San Dimas
10,San Juan De Guadalupe
10,San Juan Del Río
10,San Luis Del Cordero
10,San Pedro Del Gallo
10,Santa Clara
10,Santiago Papasquiaro
10,Súchil
10,Tamazula
10,Tepehuanes
10,Tlahualilo
10,Topia
10,Vicente Guerrero
10,Nuevo Ideal
11,Acambay
11,Acolman
11,Aculco
11,Almoloya De Alquisiras
11,Almoloya De Juárez
11,Almoloya Del Río
11,Amanalco
11,Amatepec
11,Amecameca
11,Apaxco
11,Atenco
11,Atizapán
11,Atizapán De Zaragoza
11,Atlacomulco
11,Atlautla
11,Axapusco
11,Ayapango
11,Calimaya
11,Capulhuac
11,Coacalco De Berriozábal
11,Coatepec Harinas
11,Cocotitlán
11,Coyotepec
11,Cuautitlán
11,Chalco
11,Chapa De Mota
11,Chapultepec
11,Chiautla
11,Chicoloapan
11,Chiconcuac
11,Chimalhuacán
11,Donato Guerra
11,Ecatepec De Morelos
11,Ecatzingo
11,Huehuetoca
11,Hueypoxtla
11,Huixquilucan
11,Isidro Fabela
11,Ixtapaluca
11,Ixtapan De La Sal
11,Ixtapan Del Oro
